shoulders, head, upper_leg, back
ok, ok, na, na
ok, hi, hi, hi
ok, hi, hi, ok
ok, hi, ok, lo
ok, hi, ok, lo
ok, hi, ok, lo
ok, hi, ok, lo
ok, hi, ok, lo
ok, hi, ok, lo
ok, hi, ok, lo
ok, hi, ok, lo
ok, hi, ok, ok
ok, hi, hi, lo
ok, hi, hi, lo
ok, hi, hi, lo
ok, hi, hi, ok
ok, hi, hi, ok
ok, hi, hi, ok
ok, hi, hi, ok
ok, hi, hi, ok
ok, hi, hi, lo
hi, ok, hi, ok
ok, ok, hi, lo
ok, ok, hi, lo
ok, ok, hi, ok
ok, ok, na, na
ok, ok, na, na
ok, hi, na, lo
ok, hi, na, lo
ok, hi, na, na
ok, ok, na, na
ok, hi, na, na
ok, hi, na, na
ok, hi, na, na
ok, ok, na, na
ok, ok, na, na
ok, ok, na, na
ok, ok, na, na
ok, hi, na, na
ok, na, na, na
ok, na, na, na
ok, na, na, na
ok, na, na, na
ok, ok, na, na
ok, ok, na, na
ok, ok, na, na
ok, ok, na, na
ok, ok, na, na
ok, hi, na, na
ok, ok, na, na
ok, ok, na, na
ok, hi, na, na
ok, ok, na, na
ok, hi, na, na
ok, na, na, na
ok, na, na, na
hi, hi, na, na
ok, hi, na, na
ok, hi, na, na
ok, hi, na, na
ok, hi, na, na
ok, hi, na, na
ok, hi, na, na
ok, hi, na, na
ok, na, na, na
ok, na, na, na
ok, na, na, na
ok, hi, na, na
ok, hi, na, na
ok, hi, na, na
ok, ok, na, na
ok, ok, ok, ok
ok, hi, ok, lo
ok, hi, ok, lo
ok, hi, ok, lo
ok, hi, ok, lo
ok, hi, hi, lo
ok, hi, ok, lo
ok, hi, ok, lo
ok, na, ok, lo
ok, hi, ok, lo
ok, hi, ok, lo
ok, hi, hi, lo
ok, hi, ok, lo
ok, hi, hi, lo
ok, hi, ok, lo
ok, hi, hi, lo
ok, hi, ok, ok
ok, hi, ok, lo
ok, hi, hi, lo
ok, hi, hi, ok
ok, hi, na, na
ok, hi, ok, ok
ok, hi, hi, hi
